Sample_ID,COND,scvi_00,scvi_01,scvi_02,scvi_03,scvi_04,scvi_05,scvi_06,scvi_07,scvi_08,scvi_09,scvi_10,scvi_11,scvi_12,scvi_13,scvi_14,scvi_15,scvi_16,scvi_17,scvi_18,scvi_19,scvi_20,scvi_21,scvi_22,scvi_23,scvi_24,scvi_25,scvi_26,scvi_27,scvi_28,scvi_29,subtype
T1D-1,T1D,-0.0650018,0.021601649,0.10715273,-0.07713357,-0.13264662,-1.150638,-0.38491866,-0.8189534,0.55671906,-0.011378377,-0.20992704,0.4918301,0.60129523,0.5314096,0.9775204,0.31794077,-0.4113798,-0.5168615,-0.11276935,0.1822832,0.085413,-0.17575693,-0.27009806,0.21242425,0.1260932,-0.59421635,0.4237952,0.17517346,-0.18297473,0.32051337,Subtype_4
T1D-102,T1D,-0.08843771,-0.14561962,0.87304753,-0.27680954,0.29916838,0.5578405,-0.24704067,-0.42843488,0.9766134,-0.7839943,0.13402635,-0.56618744,-0.51097953,1.0123341,0.62010026,0.15729313,0.37838778,0.4737931,0.27341974,0.11868291,-0.06113707,0.36518276,-0.10738869,0.3456888,0.6302977,-0.10111081,0.10052309,-0.27291217,0.007057464,-0.264585,Subtype_3
T1D-104,T1D,0.20151536,-0.09234298,-0.18121397,-0.29706693,-0.5102384,0.21389262,-0.29954898,-1.0377591,0.14768353,-0.21930681,-0.041693088,-0.18383159,0.16478087,0.3804707,1.2390782,-0.17950088,1.1458522,0.07909573,0.17776482,0.34745705,0.40417117,0.94405276,0.86752015,-0.2981928,0.59125227,0.38809726,0.17033128,0.5426876,-0.23084097,-0.1538537,Subtype_3
T1D-106,T1D,-0.66975325,0.38454488,0.099258214,-0.22056995,-0.5323244,0.20398973,-0.1354246,-0.70242685,-0.04626316,-0.3558003,-0.29336685,-0.1971607,-0.26464182,0.9294172,1.0768752,-0.20506257,0.23107378,0.32292587,-0.21534997,-0.27219415,0.3405581,0.45594895,-0.21403033,0.47853586,0.28482983,0.39322037,-0.06562293,0.1471609,-0.34455568,0.2795244,Subtype_3
T1D-118,T1D,-0.46045142,-0.3776654,0.23690012,-0.38266695,-0.7058965,-0.13871458,0.2907133,-0.6891158,-0.9736663,-0.46623555,1.1219536,0.18437777,0.30666727,-0.033689026,0.7544397,-0.32732356,1.8016715,0.5238931,0.3726945,0.090893574,0.28695858,0.3772426,0.87097335,0.033171616,-0.11802135,-0.23838992,0.10141081,0.06364557,0.13365686,-0.13165967,Subtype_3
T1D-12,T1D,-0.24028042,0.24902502,-0.0134012895,0.41396862,-0.25884187,-0.12231039,0.06746369,-0.32926562,-0.8079851,-0.21066077,0.18451498,0.13427086,0.1739331,-0.4371421,-0.14835086,-0.3434718,0.41804636,-0.0126640415,0.08809823,-0.2389484,0.6236978,-0.2987629,-0.084056,-0.0858569,-0.13175596,-0.9140044,-0.53313446,-1.0293113,0.42853972,-0.057431765,Subtype_4
T1D-121,T1D,0.13073522,-0.25720808,0.24793424,0.44864088,0.051012427,-0.58964896,-0.2396191,-0.23158258,-0.25394568,0.6667077,-0.5759889,0.026960265,-0.43055794,0.2660326,0.138423,0.13779666,-0.38434032,-0.13528508,-0.38633093,0.26429912,-0.16579205,-0.51687926,0.50045234,-0.523935,-0.2482312,-0.3075244,0.67827946,-0.14500654,-0.14857844,0.12723769,Subtype_4
T1D-124,T1D,-0.036506232,-0.4736862,-0.84558064,-0.30044758,-0.9824665,-0.40674314,0.018656507,-0.328951,-0.7023536,0.3888288,0.107184805,0.23280454,0.29422927,-0.6431615,0.8101689,-0.5842387,0.66599566,0.08235188,-0.826969,0.36665958,-0.2102795,0.3815254,1.0765172,-0.30598938,0.076672725,0.06045122,0.48716187,0.46897358,0.24908929,-0.17440194,Subtype_3
T1D-127,T1D,-0.75351936,-0.32308635,0.25351468,0.020958269,-0.059967488,-0.49039125,0.106650814,-0.86268157,0.3742452,0.5084214,0.39889795,-0.2706762,-0.24816395,-0.70414126,0.5378012,0.47430742,-0.54442215,-0.16689216,-0.27585232,-0.09456448,-0.33473745,-0.2632351,-0.42360955,0.57194406,-0.16205497,-0.4427928,-0.6219584,1.2566626,-0.18133008,0.04887948,Subtype_4
T1D-129,T1D,-0.39441285,-0.48042172,0.6690586,0.58343816,0.01237631,0.34328812,0.83620054,-0.067145616,-0.20469746,-0.33417916,0.026618918,-0.24989952,-0.026412005,0.55158615,0.3379316,-0.26177788,0.3640948,0.17458549,0.30071947,0.21253124,0.087188184,-0.49183995,0.051698647,0.26832965,0.034324404,-0.3052476,0.35933393,-1.2921365,0.023743737,-0.066936314,Subtype_4
T1D-132,T1D,0.00860182,-0.94520885,-0.80231583,-1.2327882,0.27485555,0.19884,-0.15898725,-0.7276244,-0.08800255,-0.30464527,-0.20836662,0.16259937,-0.7201774,-1.0497013,0.89512,1.2124656,-1.1761196,0.5495392,-0.4839952,-0.1355074,-0.16470362,0.23228689,0.1663511,0.28379768,-0.28972116,0.86674494,-0.08194505,1.0909246,-0.049459863,-0.53493994,Subtype_2
T1D-135,T1D,-0.12222866,-0.27940488,-0.13222615,0.103756376,0.4324683,-0.86427665,-0.2264437,0.14764841,0.32327724,0.20045736,-0.07538912,-0.2893901,0.23638026,-0.53029,-0.21026427,0.037916426,-0.74544424,0.092464894,-0.5048237,0.5721375,0.018416746,-0.6732626,0.54954594,-0.17966291,-0.08201111,-0.7521084,0.58137834,-0.3420492,-0.23498738,0.116176136,Subtype_4
T1D-137,T1D,-0.04762988,-0.08241536,-0.241593,0.3248395,-0.16279146,-0.27995017,0.47901776,-0.5633361,-0.71545506,0.012582514,0.14054526,-0.11151342,-0.09416357,-0.73343307,0.43107277,-0.033241436,-0.34257677,0.21461022,-0.12775613,0.086633176,0.25300378,-0.8073849,-0.024691943,-0.01177364,-0.3319759,-0.37801433,-0.08364732,-1.0565301,-0.10851023,-0.01278906,Subtype_4
T1D-139,T1D,-0.25680277,-0.28640127,-0.16224736,0.035900332,-0.35334224,0.551594,0.34068736,-0.19002958,-0.65801436,0.26966438,0.054055084,0.028070688,-0.29399282,-0.689939,0.11704612,-0.09275949,-0.11480373,0.223985,-0.42263404,0.091684975,-0.09422367,-0.8890251,-0.15151595,-0.012005553,-0.001424712,-0.26033694,0.09284575,-0.8638968,0.12649412,0.104240306,Subtype_4
T1D-14,T1D,0.012333901,0.34784675,-0.09743256,-0.12911277,0.26175267,0.2379114,-0.29120147,0.082152426,-0.012811937,0.02291012,0.41400456,0.0549068,0.62063116,-0.27641925,-1.2526709,0.25685853,-0.46991473,0.19820821,0.01548907,-0.26295388,0.039153524,0.055222373,0.48231006,-0.029299082,0.04549619,-0.03273275,0.37779388,-0.9414066,-0.06769999,0.3114185,Subtype_4
T1D-140,T1D,-0.36740252,-0.24333291,0.7929661,0.26818317,0.12620132,0.5566245,0.942961,-0.117360234,0.44060174,-0.06280385,0.11959688,-0.105180115,-0.080057606,0.40030462,-0.22049429,0.1245422,-0.58196837,-0.23131537,0.30257577,-0.0158315,0.65297955,-0.55875534,0.14979783,0.25111228,-0.46657214,0.18326594,-0.17512508,-1.5465219,-0.26852918,-0.04353967,Subtype_4
T1D-141,T1D,0.13914967,-0.056749698,0.2677932,-0.14546123,0.3177439,-0.3660209,0.050100833,-1.4638413,0.40683317,0.17114054,-0.2366795,-0.34244072,0.14466731,-0.1875919,0.8228866,0.5346123,-0.70655596,0.08426415,-0.24635792,-0.5603336,-0.17938852,-0.30316052,0.018949548,0.07621879,-0.43714282,0.08115974,0.27626178,1.1647377,0.31026185,-0.17355672,Subtype_4
T1D-142,T1D,-0.06447995,0.10992707,-0.35537946,0.18185906,0.061083924,0.47096884,-0.30638024,-0.16365471,-0.59292907,-0.05585199,0.20234537,-0.011347534,0.59804404,0.5241317,1.0936834,-0.18160433,0.38298056,0.09047283,-0.6280228,0.0054238993,-0.59965205,-0.33590212,0.24381953,-0.34264436,-0.39299098,-0.5496246,0.7390805,-0.5867962,-0.005463847,-0.1693366,Subtype_4
T1D-15,T1D,-0.24931286,0.055461455,-0.06922408,0.36522543,-0.03251851,1.2415258,-0.053047583,0.41614664,-0.01665062,-0.028066248,0.16091546,-0.26071858,0.65940887,-0.03128223,-0.96555907,-0.0032958058,-0.6723994,0.11868049,0.17751427,-0.096880786,-0.33615413,-0.22580169,-0.30445135,0.38859376,-0.60946405,0.19032994,0.23801401,-0.5267783,-0.52488136,0.39475212,Subtype_4
T1D-153,T1D,0.67416906,-0.035287213,-0.42830327,0.44301778,-0.46088517,-0.1812234,0.063135676,-1.0016538,0.58855486,0.06427461,-0.13061744,1.2053502,0.31018287,-0.23392303,1.3620054,-0.41486102,-0.5731068,-1.0044644,-0.34197137,0.3671184,0.20861259,-0.20530765,-0.43526986,0.0001740086,-0.2984629,0.23332351,0.1117839,0.07263351,-0.4341883,0.20557298,Subtype_1
T1D-156,T1D,-0.058631524,0.5931498,-0.56052107,0.0009875401,0.09464691,-0.8708026,-0.78464955,-0.99686974,0.5663668,0.281507,-0.2791853,-0.045325126,-0.23340298,-0.3928808,0.8702242,0.21116477,-0.7836182,-0.16206731,-0.26656997,0.19253057,0.07374583,-0.7488104,-0.5085028,-0.16348559,0.3999822,-0.51567227,-0.052515548,-0.09211905,-0.14933398,0.25237146,Subtype_4
T1D-158,T1D,-0.18531907,0.34288377,-0.5021878,0.5306538,0.5155797,-0.42114848,-0.61787975,-0.9774592,-0.14803141,-0.3464222,0.14345147,-0.41793138,-0.24485591,-0.06499415,0.97132516,0.01763583,0.032650564,-0.26102135,0.6591568,-0.14467153,0.6019724,-0.24786283,-0.6453197,0.23875786,0.12057353,-0.30802405,-0.5196153,-0.9253358,-0.07956183,0.1505171,Subtype_4
T1D-170,T1D,0.26178858,0.12478113,0.39509022,0.50965136,0.3239339,0.4631423,-0.11615824,-0.96572506,0.6028732,-0.04746053,-0.3072292,-0.39644378,-0.34792095,0.011608893,0.3829556,0.6773408,-1.2618835,-0.07622147,0.37789592,-0.19410817,0.26587155,-0.5143634,0.010028905,0.1814504,-0.5926228,-0.059380513,0.14261231,-0.844313,0.1961682,0.013301015,Subtype_4
