feature_set,model,fold,accuracy,balanced_accuracy,f1,roc_auc
geneformer_patient,logistic,1,0.625,0.6349206349206349,0.625,0.6666666666666666
geneformer_patient,logistic,2,0.9375,0.95,0.9473684210526315,0.95
geneformer_patient,logistic,3,0.7333333333333333,0.7222222222222222,0.7777777777777778,0.925925925925926
geneformer_patient,logistic,4,0.7333333333333333,0.7222222222222222,0.7777777777777778,0.8703703703703703
geneformer_patient,logistic,5,0.8,0.7777777777777777,0.8421052631578947,0.7777777777777779
geneformer_patient,svm,1,0.75,0.7619047619047619,0.75,0.7142857142857143
geneformer_patient,svm,2,0.9375,0.95,0.9473684210526315,0.9333333333333333
geneformer_patient,svm,3,0.9333333333333333,0.9444444444444444,0.9411764705882353,0.9814814814814815
geneformer_patient,svm,4,0.8666666666666667,0.8888888888888888,0.875,0.8148148148148149
geneformer_patient,svm,5,0.8666666666666667,0.8611111111111112,0.8888888888888888,0.8333333333333334
geneformer_patient,rf,1,0.6875,0.6746031746031746,0.7368421052631579,0.6984126984126985
geneformer_patient,rf,2,0.6875,0.5833333333333334,0.8,0.95
geneformer_patient,rf,3,0.9333333333333333,0.9166666666666667,0.9473684210526315,0.9814814814814815
geneformer_patient,rf,4,0.8,0.8055555555555556,0.8235294117647058,0.8333333333333333
geneformer_patient,rf,5,0.8,0.7777777777777777,0.8421052631578947,0.8333333333333334
geneformer_patient,hgb,1,0.8125,0.8174603174603174,0.8235294117647058,0.8095238095238095
geneformer_patient,hgb,2,0.75,0.7,0.8181818181818182,0.7666666666666667
geneformer_patient,hgb,3,0.9333333333333333,0.9444444444444444,0.9411764705882353,1.0
geneformer_patient,hgb,4,0.8,0.8055555555555556,0.8235294117647058,0.9259259259259259
geneformer_patient,hgb,5,0.8,0.8055555555555556,0.8235294117647058,0.9444444444444444
geneformer_celltype,logistic,1,0.5,0.47619047619047616,0.6,0.5555555555555555
geneformer_celltype,logistic,2,0.75,0.7,0.8181818181818182,0.95
geneformer_celltype,logistic,3,0.8,0.75,0.8571428571428571,0.962962962962963
geneformer_celltype,logistic,4,0.8,0.8333333333333333,0.8,0.9814814814814815
geneformer_celltype,logistic,5,0.7333333333333333,0.6944444444444444,0.8,0.7222222222222223
geneformer_celltype,svm,1,0.75,0.7619047619047619,0.75,0.6825396825396826
geneformer_celltype,svm,2,0.8125,0.7833333333333333,0.8571428571428571,0.9
geneformer_celltype,svm,3,0.8666666666666667,0.8888888888888888,0.875,0.9814814814814815
geneformer_celltype,svm,4,0.8666666666666667,0.8888888888888888,0.875,0.8333333333333334
geneformer_celltype,svm,5,0.7333333333333333,0.75,0.75,0.8148148148148149
geneformer_celltype,rf,1,0.5625,0.5158730158730158,0.6956521739130435,0.7619047619047619
geneformer_celltype,rf,2,0.75,0.7,0.8181818181818182,0.8583333333333333
geneformer_celltype,rf,3,0.9333333333333333,0.9166666666666667,0.9473684210526315,1.0
geneformer_celltype,rf,4,0.8666666666666667,0.8611111111111112,0.8888888888888888,0.9444444444444445
geneformer_celltype,rf,5,0.7333333333333333,0.7222222222222222,0.7777777777777778,0.6666666666666667
geneformer_celltype,hgb,1,0.6875,0.6904761904761905,0.7058823529411765,0.7777777777777778
geneformer_celltype,hgb,2,0.75,0.7,0.8181818181818182,0.75
geneformer_celltype,hgb,3,0.8,0.8055555555555556,0.8235294117647058,0.9074074074074074
geneformer_celltype,hgb,4,0.8,0.8333333333333333,0.8,0.9814814814814815
geneformer_celltype,hgb,5,0.6666666666666666,0.6388888888888888,0.7368421052631579,0.7592592592592593
