feature_set,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
geneformer_celltype,hgb,0.7408,0.0621,0.7337,0.0823,0.7769,0.0526,0.8352,0.1036
geneformer_celltype,logistic,0.7167,0.1247,0.6908,0.1323,0.7751,0.1006,0.8344,0.1883
geneformer_celltype,rf,0.7692,0.1421,0.7432,0.1565,0.8256,0.0975,0.8463,0.1349
geneformer_celltype,svm,0.8058,0.0629,0.8146,0.0689,0.8214,0.0656,0.8424,0.1107
geneformer_patient,hgb,0.8192,0.0682,0.8146,0.0868,0.846,0.0533,0.8893,0.0975
geneformer_patient,logistic,0.7658,0.1147,0.7614,0.1172,0.794,0.1172,0.8381,0.1165
geneformer_patient,rf,0.7817,0.1017,0.7516,0.1276,0.83,0.0767,0.8593,0.1122
geneformer_patient,svm,0.8708,0.0758,0.8813,0.0765,0.8805,0.0795,0.8554,0.1049
scvi_celltype_gpu,hgb,0.7667,0.0541,0.7437,0.0507,0.8082,0.0626,0.8511,0.0487
scvi_celltype_gpu,logistic,0.8342,0.1274,0.8183,0.134,0.8627,0.1146,0.8793,0.1288
scvi_celltype_gpu,rf,0.8192,0.0493,0.809,0.0742,0.8495,0.0313,0.8699,0.073
scvi_celltype_gpu,svm,0.8208,0.0996,0.8114,0.1079,0.8471,0.0913,0.817,0.1408
scvi_patient_gpu,hgb,0.8192,0.1038,0.8016,0.1112,0.8537,0.0849,0.8976,0.0566
scvi_patient_gpu,logistic,0.78,0.0702,0.7837,0.0731,0.8023,0.0721,0.8208,0.1571
scvi_patient_gpu,rf,0.7433,0.1571,0.7154,0.1691,0.8051,0.111,0.8052,0.1407
scvi_patient_gpu,svm,0.7425,0.1314,0.7273,0.1571,0.7923,0.1014,0.7577,0.1156
