Sample_ID,COND,scvi_00,scvi_01,scvi_02,scvi_03,scvi_04,scvi_05,scvi_06,scvi_07,scvi_08,scvi_09,scvi_10,scvi_11,scvi_12,scvi_13,scvi_14,scvi_15,scvi_16,scvi_17,scvi_18,scvi_19,scvi_20,scvi_21,scvi_22,scvi_23,scvi_24,scvi_25,scvi_26,scvi_27,scvi_28,scvi_29
H-1,H,-0.24608935,0.32616,-0.5388585,-0.31327978,-0.9937952,0.28148565,0.07988614,0.09184101,0.7081166,0.23759311,0.43708605,-0.44136965,-0.38620242,0.5518632,-0.15254614,-0.19604458,0.17262948,0.098672554,0.5771493,-0.37698025,-0.025288187,-0.04067206,-0.24536547,0.36586982,0.8012796,-0.658509,0.27491713,-0.01971543,-0.7071987,0.14816299
H-10,H,0.108173326,-0.35188448,-0.6532887,0.29563332,-0.97880375,0.29175457,0.027011393,-0.08293436,0.3054764,0.7540835,-0.31676355,0.2671744,0.171014,-0.29322317,0.45991263,-0.34367844,0.3311378,-0.087152556,0.19168769,0.17521597,0.07705048,0.17997387,-0.332984,-0.44868085,-0.36963516,0.75774974,0.048487607,-0.5875242,-0.16002028,0.16081925
H-11,H,-0.1498472,-0.11618463,-0.17943628,0.42565152,-1.0940512,0.07489111,0.22555387,-0.043135166,-0.18797521,-0.015355407,0.27583322,-0.78108317,-0.23391962,0.3070407,-0.0007710037,0.35174885,-0.6300657,-0.43901327,-0.20459487,-0.04954808,-0.33619353,-0.3450747,0.082990676,-0.17473572,-0.051245254,0.19009854,-0.47669145,0.23059821,0.31354332,-0.19771181
H-13,H,-0.1824362,-0.3221812,0.027857127,-0.5248562,-0.7218187,-0.056768414,-0.007121715,0.37998635,-0.1523851,0.39860252,-0.07568444,-0.8397807,0.1004101,-0.19660982,-0.39685395,-0.39856037,-0.6621716,-0.06521813,0.03936774,-0.5689354,-0.26460227,-0.50293475,-0.121871285,0.11818075,-0.17869624,-0.5060166,0.1445135,0.11901895,0.24023192,-0.15669607
H-16,H,-0.06756712,-0.22718616,-0.29143754,0.6611645,-0.9924087,0.24907966,-0.06533055,-0.20282367,0.07735169,-0.015111183,-0.075726986,-0.20860602,0.15718076,0.28950724,-0.27406272,0.5496442,-0.5104067,0.066167675,0.2937415,-0.17088869,-0.3439784,-0.25468603,-0.014332892,-0.61535674,0.1721366,0.11289143,-0.62144643,0.25226983,-0.13218564,-0.110230826
H-18,H,-0.30716348,0.19425702,0.29758444,0.55044854,-0.45133224,0.5831706,-0.044444855,-0.012108982,-0.39430803,0.7681888,-0.2510827,-0.13233447,-0.7350433,0.4597792,0.6396637,-0.08949906,0.55388093,-0.44207457,-0.11091963,0.77366084,-0.036855754,-0.029143622,-0.40415803,0.055435844,-0.1488452,-0.05741631,0.5829818,-0.10744486,-0.014763209,0.65432155
H-23,H,-0.6460412,-0.7819793,0.299413,-0.0525229,-0.22013332,-0.72791946,-0.70405513,-0.33030984,-0.037892487,0.6680581,-0.19927216,-0.701868,-0.46124595,0.15242183,-0.3276011,-0.09710759,0.4104562,-0.81587255,-0.5774567,0.34425777,-0.28859037,0.22714259,0.55892897,0.28035685,0.42408043,-0.10691416,-0.10267786,-0.48727575,0.23948476,-0.37405378
H-25,H,-0.04799614,0.16234466,-0.17216648,0.23888083,-0.8025624,0.29036283,0.1683693,0.58340657,0.12248441,0.23978426,0.03653628,0.16367719,-0.17702706,0.076305784,-0.07554523,-0.52383685,-0.5906576,0.44962,0.8567766,0.4021975,-0.68423885,0.07014472,0.017835226,0.22067139,-0.57558143,-0.17602775,-0.0053582736,0.36077005,-0.3426084,-0.05728209
H-26,H,-0.19376665,0.32011655,0.46421063,0.09670008,-0.29793018,0.40550104,0.07098591,-0.008042278,-0.6686335,-0.032113522,0.12745449,-0.00031531724,0.15224092,0.23427731,-0.016350847,-0.47887585,-1.3726076,0.4569976,0.26662418,0.25485033,0.571643,-0.10698247,0.12110682,-0.051689874,-0.6917557,-0.4954829,0.31570566,0.5329974,0.42039156,0.23735261
H-27,H,0.02209478,0.18213,0.13476384,0.15862526,-0.68304485,-0.04681873,0.21967609,0.056709107,0.34504,-0.38854846,-0.12687926,0.19856651,0.8611564,-0.048353944,-0.3133337,0.48827565,-1.4619418,0.5172814,0.6948013,-0.5053492,-0.04947653,-0.28517473,-0.046692513,-0.108439334,-0.7736059,-0.49335864,0.492967,0.3466846,0.23533842,0.5174441
