Sample_ID,COND,scvi_00,scvi_01,scvi_02,scvi_03,scvi_04,scvi_05,scvi_06,scvi_07,scvi_08,scvi_09,scvi_10,scvi_11,scvi_12,scvi_13,scvi_14,scvi_15,scvi_16,scvi_17,scvi_18,scvi_19,scvi_20,scvi_21,scvi_22,scvi_23,scvi_24,scvi_25,scvi_26,scvi_27,scvi_28,scvi_29,subtype
T1D-1,T1D,-0.04959525,0.044879947,-0.057548244,0.55091214,0.9616553,0.06346519,-0.25248134,0.2644911,-0.7116727,0.3974775,-0.22321878,1.0036455,-0.06879621,0.14803046,0.020349653,-0.1334931,0.70507216,-0.3165137,-0.2694426,0.019773226,0.017941022,-0.030620225,-0.28513268,-0.6999489,-0.33928788,0.3925866,-0.28244427,-0.21222667,0.37501618,0.20809084,Subtype_3
T1D-102,T1D,-0.3718323,-0.7098304,-0.035574548,0.22285351,0.5696564,0.1496794,0.5198065,-0.22676472,-0.7303187,0.4824972,0.25447896,-0.005588405,0.5186295,0.7585426,0.30759957,-0.07749546,-0.19165255,-0.39076433,-0.084530145,-0.040065378,0.3452066,-0.1806507,0.302107,0.44951886,-0.43562645,-1.1037755,0.70304596,0.06269524,0.696874,0.23460041,Subtype_3
T1D-104,T1D,-0.008119354,0.021815704,0.6899275,-0.567288,1.2247977,-0.47461283,0.5080862,-0.62416637,-0.77859193,0.607362,-0.50940394,0.36043966,0.30867758,0.042095903,-0.27421176,0.017072406,-0.80475295,0.47441936,-0.7247649,-0.12568608,0.52301383,0.5404638,0.10796046,-0.12870128,-0.25087973,0.1260283,0.5410545,0.01887454,0.57936954,-0.1773987,Subtype_4
T1D-106,T1D,0.13376631,0.15360005,0.3391084,-0.28118595,1.0371003,0.17969158,-0.03488589,-0.62278455,-0.9434733,-0.14999786,0.022935543,0.16327412,-0.17068192,0.31179777,0.23441131,0.207355,-0.23981687,-0.123214684,-0.25384185,-0.009318433,0.6519302,-0.056594037,0.13660172,0.113095984,0.059709284,-0.4051545,-0.17935555,0.90899044,0.23908448,0.24623576,Subtype_2
T1D-118,T1D,0.94622535,0.26337865,0.63712287,0.29554042,0.8147789,-0.42599025,0.644182,0.026250666,-0.27568498,-0.40318093,-0.5640554,0.3498613,1.0605059,0.017534884,0.07886165,0.35079122,-1.7829592,0.5794915,-0.18278827,-0.6719036,-0.27429697,0.28573832,0.32269183,-0.20159666,-0.6447322,0.23158641,-0.3165533,-0.009843716,0.12492613,-0.18026456,Subtype_4
T1D-12,T1D,0.22388932,-0.105394304,-0.4992404,0.37377405,0.3245247,0.5071371,0.20081069,0.74310297,0.41614714,-0.8066355,-0.020819148,0.6512503,0.05710048,-0.4158505,-0.28367174,0.02126651,-0.90158975,0.37167838,0.43121722,0.025573855,0.058399476,-0.11167491,0.209903,0.023584023,-0.14810659,0.07273176,-0.26505607,0.27325934,-0.090338424,-0.39016503,Subtype_1
T1D-121,T1D,0.34974384,0.43595472,-0.19068968,0.5796976,0.30138838,0.2765901,-0.17400289,0.3226511,-0.14103349,0.3843353,-0.58529544,0.34073892,-0.57034177,0.2218258,0.10931428,-0.62578225,0.4447632,0.11651323,-0.39943194,-0.014665867,-0.024095776,0.024521785,0.03207288,-0.1267818,0.18925238,0.21514732,0.47405747,-0.33682987,-0.7906524,-0.121001944,Subtype_1
T1D-124,T1D,0.9656924,0.516396,0.48940012,-0.2512914,0.8202827,-0.685571,0.16983482,-0.072747976,-0.07383704,0.025753234,-1.2899791,-0.014201977,-0.08581278,-0.70370203,-0.045544058,0.3363297,-0.48551026,0.6178241,-0.07460957,-0.32391194,0.06019624,0.32007137,-0.081918925,-0.66539896,-0.634613,0.97051203,0.33335465,-0.15105532,-0.37087005,0.020469846,Subtype_4
T1D-127,T1D,0.4724817,-0.15274452,0.055762783,0.5650019,1.1605594,-0.82900697,-0.91723204,0.0010086155,0.4192303,0.12413885,0.047588,0.005425019,0.18107983,0.02486981,0.32291794,0.21894158,0.8528428,-0.76277596,-0.2034046,0.016170645,-0.2611053,0.20178884,0.42530373,0.26826012,-0.3265348,0.32158053,-0.8606813,-0.13141988,0.26661083,-0.0554893,Subtype_2
T1D-129,T1D,0.3169525,0.12644726,-0.32797068,0.39685872,0.1714642,0.45151246,0.99812,0.5420939,-0.5315708,-0.008227696,0.31527513,0.20688722,0.27724496,0.29571518,0.2272019,-0.20946012,-0.4789082,-0.031004021,0.4746951,0.0925392,-0.54035336,-0.23861846,0.0684417,0.25677562,-0.3921791,-0.8093775,-0.07167166,0.44521213,-0.42479587,-0.6867805,Subtype_1
